119 Insertion 700: Time = 2000 ns, Operations = 59
120 Insertion 7945: Time = 4800 ns, Operations = 59
121 Insertion 4067: Time = 1900 ns, Operations = 55
122 Insertion 1274: Time = 1900 ns, Operations = 55
123 Insertion 515: Time = 2000 ns, Operations = 55
124 Insertion 4304: Time = 2600 ns, Operations = 59
125 Insertion 867: Time = 3400 ns, Operations = 59
126 Insertion 761: Time = 2300 ns, Operations = 55
127 Insertion 7637: Time = 2000 ns, Operations = 55
128 Insertion 7778: Time = 3600 ns, Operations = 55
129 Insertion 5169: Time = 2100 ns, Operations = 59
130 Insertion 786: Time = 2000 ns, Operations = 59
131 Insertion 816: Time = 1700 ns, Operations = 55
132 Insertion 7690: Time = 1800 ns, Operations = 55
133 Insertion 61: Time = 1700 ns, Operations = 55
134 Insertion 7932: Time = 1900 ns, Operations = 59
135 Insertion 4239: Time = 1600 ns, Operations = 59
136 Insertion 2199: Time = 1600 ns, Operations = 55
137 Insertion 732: Time = 1400 ns, Operations = 55
138 Insertion 8975: Time = 1600 ns, Operations = 55
139 Insertion 8464: Time = 1800 ns, Operations = 59
140 Insertion 1920: Time = 1800 ns, Operations = 59
141 Insertion 3576: Time = 1400 ns, Operations = 55
142 Insertion 9804: Time = 1500 ns, Operations = 55
143 Insertion 1460: Time = 1700 ns, Operations = 55
144 Insertion 7298: Time = 1800 ns, Operations = 59
145 Insertion 8757: Time = 1700 ns, Operations = 59
146 Insertion 9469: Time = 1500 ns, Operations = 55
147 Insertion 3407: Time = 1700 ns, Operations = 55
148 Insertion 8839: Time = 2300 ns, Operations = 55
149 Insertion 7310: Time = 1800 ns, Operations = 59
150 Insertion 9337: Time = 1900 ns, Operations = 59
151 Insertion 9231: Time = 1700 ns, Operations = 55
152 Insertion 165: Time = 1700 ns, Operations = 55
153 Insertion 7453: Time = 1400 ns, Operations = 55
154 Insertion 2196: Time = 1700 ns, Operations = 55
155 Insertion 2601: Time = 1400 ns, Operations = 55
156 Insertion 3072: Time = 1800 ns, Operations = 55
157 Insertion 9049: Time = 7300 ns, Operations = 55
158 Insertion 4193: Time = 2200 ns, Operations = 59
159 Insertion 4862: Time = 1900 ns, Operations = 59
160 Insertion 3565: Time = 2200 ns, Operations = 55
161 Insertion 8538: Time = 7800 ns, Operations = 55
162 Insertion 101: Time = 3500 ns, Operations = 55
163 Insertion 8045: Time = 4700 ns, Operations = 59
164 Insertion 2164: Time = 5400 ns, Operations = 59
165 Insertion 9256: Time = 4300 ns, Operations = 55
166 Insertion 7034: Time = 3600 ns, Operations = 55
167 Insertion 9715: Time = 3200 ns, Operations = 55
168 Insertion 4384: Time = 2800 ns, Operations = 59
169 Insertion 8529: Time = 2700 ns, Operations = 59
170 Insertion 3004: Time = 2700 ns, Operations = 55
171 Insertion 8781: Time = 2200 ns, Operations = 55
172 Insertion 2759: Time = 5000 ns, Operations = 55
173 Insertion 9850: Time = 3100 ns, Operations = 59
174 Insertion 5139: Time = 2300 ns, Operations = 59
175 Insertion 7118: Time = 2000 ns, Operations = 55
176 Insertion 5057: Time = 2300 ns, Operations = 55
177 Insertion 2077: Time = 2200 ns, Operations = 55
178 Insertion 286: Time = 2200 ns, Operations = 59
179 Insertion 6764: Time = 2300 ns, Operations = 59
180 Insertion 8551: Time = 1900 ns, Operations = 55
181 Insertion 4048: Time = 2000 ns, Operations = 55
182 Insertion 1624: Time = 1800 ns, Operations = 55
183 Insertion 4932: Time = 2000 ns, Operations = 59
184 Insertion 2537: Time = 2300 ns, Operations = 59
185 Insertion 502: Time = 2000 ns, Operations = 55
186 Insertion 1978: Time = 2500 ns, Operations = 55
187 Insertion 9454: Time = 1900 ns, Operations = 55
188 Insertion 4827: Time = 2100 ns, Operations = 59
189 Insertion 1679: Time = 1600 ns, Operations = 59
190 Insertion 9837: Time = 7600 ns, Operations = 55
191 Insertion 7419: Time = 3700 ns, Operations = 55
192 Insertion 2605: Time = 4200 ns, Operations = 55
193 Insertion 4427: Time = 5100 ns, Operations = 55
194 Insertion 7130: Time = 4259600 ns, Operations = 55
195 Insertion 186: Time = 3700 ns, Operations = 55
196 Insertion 4598: Time = 1800 ns, Operations = 55
197 Insertion 108: Time = 1900 ns, Operations = 59
198 Insertion 368: Time = 1600 ns, Operations = 59
199 Insertion 6971: Time = 1600 ns, Operations = 55
200 Insertion 8396: Time = 1500 ns, Operations = 55
201 Insertion 1432: Time = 1600 ns, Operations = 55
202 Insertion 2784: Time = 1700 ns, Operations = 59
203 Insertion 3579: Time = 1500 ns, Operations = 59
204 Insertion 8131: Time = 1600 ns, Operations = 55
205 Insertion 4413: Time = 1600 ns, Operations = 55
206 Insertion 2056: Time = 1600 ns, Operations = 55
207 Insertion 7389: Time = 1700 ns, Operations = 59
208 Insertion 4208: Time = 1400 ns, Operations = 59
209 Insertion 6336: Time = 1500 ns, Operations = 55
210 Insertion 6219: Time = 2900 ns, Operations = 55
211 Insertion 3898: Time = 2000 ns, Operations = 55
212 Insertion 2824: Time = 2100 ns, Operations = 59
213 Insertion 3150: Time = 1800 ns, Operations = 59
214 Insertion 8010: Time = 1700 ns, Operations = 55
215 Insertion 5647: Time = 1600 ns, Operations = 55
216 Insertion 7098: Time = 1600 ns, Operations = 55
217 Insertion 3107: Time = 2300 ns, Operations = 59
218 Insertion 2673: Time = 2000 ns, Operations = 59
219 Insertion 9621: Time = 1700 ns, Operations = 55
220 Insertion 3301: Time = 1600 ns, Operations = 55
221 Insertion 4473: Time = 1700 ns, Operations = 55
222 Insertion 2400: Time = 1600 ns, Operations = 59
223 Insertion 3598: Time = 1600 ns, Operations = 59
224 Insertion 3735: Time = 2300 ns, Operations = 55
225 Insertion 4072: Time = 1600 ns, Operations = 55
226 Insertion 8756: Time = 1700 ns, Operations = 55
227 Insertion 9835: Time = 4100 ns, Operations = 59
228 Insertion 7492: Time = 2000 ns, Operations = 59
229 Insertion 1308: Time = 1800 ns, Operations = 55
