100  600
1100  600
2100  600
3100  500
4100  700
5100  800
6100  1100
7100  900
8100  700
9100  600
10100  800
11100  1100
12100  900
13100  1500
14100  100
15100  100
16100  100
17100  200
18100  200
19100  100
20100  100
21100  200
22100  200
23100  100
24100  0
25100  200
26100  100
27100  0
28100  100
29100  100
30100  100
31100  0
32100  0
33100  200
34100  100
35100  100
36100  100
37100  300
38100  0
39100  0
40100  100
41100  100
42100  100
43100  100
44100  100
45100  200
46100  100
47100  300
48100  100
49100  100
50100  100
51100  100
52100  100
53100  0
54100  0
55100  0
56100  0
57100  100
58100  200
59100  100
60100  100
61100  0
62100  200
63100  200
64100  100
65100  0
66100  100
67100  100
68100  0
69100  200
70100  100
71100  100
72100  100
73100  100
74100  100
75100  100
76100  500
77100  0
78100  300
79100  100
80100  100
81100  100
82100  100
83100  0
84100  100
85100  300
86100  300
87100  0
88100  200
89100  0
90100  0
91100  100
92100  0
93100  100
94100  100
95100  0
96100  0
97100  100
98100  0
99100  0
